site,fpz,description,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N
WIN,1,backwater,101,Ictiobus cyprinellus,planktivore,621,13.712,-29.363,10.106,49.901,4.938
WIN,1,backwater,102,Ictiobus bubalus,detritivore,554,14.266,-30.472,11.687,49.562,4.241
WIN,1,backwater,103,Micropterus dolomieu,piscivore,300,18.394,-26.764,13.359,43.075,3.224
WIN,1,backwater,104,Aplodinotus grunniens,invertivore,304,14.697,-27.931,12.907,43.632,3.381
WIN,1,backwater,105,Aplodinotus grunniens,invertivore,310,16.626,-26.580,13.231,45.777,3.460
WIN,1,backwater,106,Ictiobus cyprinellus,planktivore,542,14.637,-31.220,11.174,52.195,4.671
WIN,1,backwater,107,Aplodinotus grunniens,invertivore,290,15.580,-26.567,13.999,44.990,3.214
WIN,1,backwater,108,Ictiobus bubalus,detritivore,520,16.895,-30.223,8.309,54.560,6.567
WIN,1,backwater,109,Amia calva,piscivore,610,14.497,-25.162,13.862,45.763,3.301
WIN,1,backwater,110,Lepomis macrochirus,invertivore,180,16.164,-25.685,13.082,41.872,3.201
WIN,1,backwater,111,Lepomis cyanellus,invertivore,170,16.247,-26.565,13.571,44.335,3.267
WIN,1,backwater,112,Lepomis macrochirus,invertivore,187,16.744,-25.256,13.750,44.897,3.265
WIN,1,backwater,113,Lepomis macrochirus,invertivore,172,14.267,-29.673,13.903,45.336,3.261
WIN,1,backwater,114,Minytrema melanops,invertivore,187,13.228,-31.369,13.195,42.156,3.195
WIN,1,backwater,115,Lepomis macrochirus,invertivore,172,17.071,-24.575,13.441,44.150,3.285
WIN,1,backwater,116,Sander vitreus,piscivore,642,17.822,-25.418,13.686,43.406,3.171
WIN,1,backwater,117,Cyprinus carpio,detritivore,610,13.434,-27.138,9.945,51.821,5.211
WIN,1,backwater,118,Minytrema melanops,invertivore,300,13.397,-31.431,13.438,43.681,3.251
WIN,1,backwater,119,Aplodinotus grunniens,invertivore,280,14.085,-31.597,10.250,49.536,4.833
WIN,1,backwater,120,Aplodinotus grunniens,invertivore,388,14.516,-28.997,12.214,48.848,3.999
WIN,1,backwater,121,Ictiobus bubalus,detritivore,497,15.985,-29.395,9.473,52.336,5.525
WIN,1,backwater,122,Minytrema melanops,invertivore,346,13.044,-30.624,13.257,43.012,3.244
WIN,1,backwater,123,Esox lucius,piscivore,410,15.946,-27.724,13.706,43.573,3.179
WIN,1,backwater,124,Esox lucius,piscivore,465,14.804,-28.550,13.815,43.816,3.172
WIN,1,backwater,125,Cyprinus carpio,detritivore,510,12.456,-32.143,5.392,61.612,11.427
WIN,1,backwater,126,Ictiobus cyprinellus,planktivore,532,14.524,-28.651,12.700,44.570,3.509
WIN,1,backwater,127,Ictiobus cyprinellus,planktivore,582,13.372,-29.459,10.769,50.017,4.645
WIN,1,backwater,128,Ictiobus cyprinellus,planktivore,600,13.427,-31.545,11.034,50.574,4.584
WIN,1,backwater,129,Micropterus salmoides,piscivore,368,15.096,-27.093,13.172,41.928,3.183
WIN,1,backwater,130,Sander vitreus,piscivore,483,16.984,-28.323,13.617,44.312,3.254
WIN,1,backwater,131,Sander vitreus,piscivore,541,17.034,-27.580,13.678,43.419,3.174
WIN,1,backwater,132,Moxostoma macrolepidotum,invertivore,408,14.863,-27.650,13.011,43.607,3.352
WIN,1,backwater,133,Moxostoma macrolepidotum,invertivore,410,15.077,-30.131,10.920,49.191,4.505
WIN,1,backwater,134,Cyprinus carpio,detritivore,595,14.047,-30.022,7.717,54.828,7.105
WIN,1,backwater,135,Ictiobus bubalus,detritivore,520,14.428,-30.801,11.731,49.356,4.207
WIN,1,backwater,136,Cyprinus carpio,detritivore,580,14.650,-27.076,11.358,49.019,4.316
WIN,1,backwater,137,Esox lucius,piscivore,628,16.369,-26.347,14.103,45.339,3.215
WIN,1,backwater,138,Moxostoma macrolepidotum,invertivore,394,14.982,-29.100,11.406,50.035,4.387
WIN,1,backwater,139,Moxostoma macrolepidotum,invertivore,395,15.228,-28.242,12.593,44.249,3.514
WIN,1,backwater,140,Moxostoma macrolepidotum,invertivore,376,15.022,-27.495,13.095,47.607,3.636
WIN,1,backwater,141,Cyprinus carpio,detritivore,675,14.399,-26.197,10.786,49.460,4.586
WIN,1,backwater,142,Micropterus salmoides,piscivore,220,18.533,-26.668,13.401,43.608,3.254
WIN,1,side channel,143,Micropterus dolomieu,piscivore,388,18.071,-26.390,11.904,47.940,4.027
WIN,1,side channel,144,Micropterus dolomieu,piscivore,500,17.138,-24.602,13.469,45.182,3.354
WIN,1,side channel,145,Micropterus dolomieu,piscivore,453,17.487,-25.652,13.136,42.752,3.255
WIN,1,side channel,146,Micropterus dolomieu,piscivore,368,18.303,-26.060,13.260,43.671,3.294
WIN,1,side channel,147,Micropterus dolomieu,piscivore,342,18.217,-26.021,13.194,43.910,3.328
WIN,1,side channel,149,Moxostoma macrolepidotum,invertivore,405,15.452,-26.653,13.970,44.512,3.186
WIN,1,side channel,150,Moxostoma macrolepidotum,invertivore,333,14.579,-26.632,13.104,45.358,3.461
WIN,1,side channel,151,Moxostoma carinatum,invertivore,550,15.494,-26.805,12.907,44.137,3.420
WIN,1,side channel,152,Moxostoma macrolepidotum,invertivore,405,15.693,-28.790,10.285,42.435,4.126
WIN,1,side channel,153,Ictiobus bubalus,detritivore,507,16.648,-29.946,7.109,57.311,8.061
WIN,1,side channel,154,Moxostoma carinatum,invertivore,506,16.334,-27.341,12.433,48.104,3.869
WIN,1,side channel,155,Moxostoma macrolepidotum,invertivore,335,15.289,-27.959,11.631,48.045,4.131
WIN,1,side channel,156,Moxostoma anisurum,invertivore,512,15.833,-27.148,11.645,45.220,3.883
WIN,1,side channel,157,Lepomis macrochirus,invertivore,180,16.185,-27.696,13.492,43.640,3.235
WIN,1,side channel,158,Moxostoma macrolepidotum,invertivore,440,16.832,-27.674,11.001,54.541,4.958
WIN,1,side channel,159,Moxostoma carinatum,invertivore,560,15.881,-26.903,13.024,43.840,3.366
WIN,1,side channel,160,Moxostoma carinatum,invertivore,545,16.352,-27.558,10.730,46.687,4.351
WIN,1,side channel,161,Micropterus salmoides,piscivore,277,14.145,-26.409,13.446,42.804,3.183
WIN,1,side channel,162,Micropterus salmoides,piscivore,220,13.197,-23.856,13.637,43.887,3.218
WIN,1,side channel,163,Micropterus salmoides,piscivore,190,17.611,-22.664,13.390,43.275,3.232
WIN,1,side channel,164,Micropterus salmoides,piscivore,217,18.025,-25.260,13.381,44.859,3.352
WIN,1,side channel,165,Carpiodes cyprinus,omnivore,465,17.004,-28.140,10.516,51.290,4.877
WIN,1,side channel,166,Ictiobus bubalus,detritivore,540,16.268,-25.528,12.307,45.636,3.708
WIN,1,side channel,167,Carpiodes cyprinus,omnivore,463,17.369,-27.824,10.918,48.217,4.416
WIN,1,side channel,168,Perca flavescens,invertivore,247,13.329,-26.636,13.259,42.335,3.193
WIN,1,side channel,169,Cyprinus carpio,detritivore,695,15.346,-28.210,10.310,53.219,5.162
WIN,1,side channel,170,Cyprinus carpio,detritivore,600,14.856,-26.401,11.092,49.560,4.468
WIN,1,side channel,171,Cyprinus carpio,detritivore,710,15.635,-28.651,8.340,55.130,6.610
WIN,1,side channel,172,Sander canadensis,piscivore,282,18.511,-24.127,12.889,42.985,3.335
WIN,1,side channel,173,Cyprinus carpio,detritivore,680,14.612,-30.166,10.277,51.834,5.044
WIN,1,side channel,174,Esox lucius,piscivore,800,17.273,-26.362,13.787,43.393,3.147
WIN,1,side channel,175,Ictiobus bubalus,detritivore,510,16.511,-28.462,10.244,50.110,4.892
WIN,1,main channel,176,Micropterus salmoides,piscivore,452,17.854,-25.688,13.689,43.457,3.175
WIN,1,main channel,177,Micropterus dolomieu,piscivore,350,17.254,-24.937,13.250,43.392,3.275
WIN,1,main channel,178,Micropterus dolomieu,piscivore,362,16.925,-25.288,13.284,42.701,3.215
WIN,1,main channel,179,Micropterus dolomieu,piscivore,300,17.062,-25.254,13.040,42.328,3.246
WIN,1,main channel,180,Moxostoma macrolepidotum,invertivore,403,15.391,-28.083,12.999,44.441,3.419
WIN,1,main channel,181,Moxostoma macrolepidotum,invertivore,367,16.172,-30.257,9.349,52.733,5.640
WIN,1,main channel,182,Carpiodes cyprinus,omnivore,490,17.857,-27.648,10.859,49.702,4.577
WIN,1,main channel,183,Moxostoma carinatum,invertivore,480,16.052,-26.602,12.880,46.220,3.588
WIN,1,main channel,184,Moxostoma macrolepidotum,invertivore,405,15.571,-26.707,13.234,43.821,3.311
WIN,1,main channel,185,Carpiodes cyprinus,omnivore,400,16.518,-26.911,11.897,46.014,3.868
WIN,1,main channel,186,Ictiobus bubalus,detritivore,518,17.065,-28.258,10.331,51.034,4.940
WIN,1,main channel,187,Moxostoma macrolepidotum,invertivore,338,15.674,-23.803,13.247,42.969,3.244
WIN,1,main channel,188,Moxostoma macrolepidotum,invertivore,320,14.686,-27.148,12.328,45.501,3.691
WIN,1,main channel,189,Micropterus salmoides,piscivore,200,16.177,-24.211,13.416,43.563,3.247
WIN,1,main channel,190,Micropterus salmoides,piscivore,332,17.833,-26.475,12.905,43.384,3.362
WIN,1,main channel,191,Micropterus dolomieu,piscivore,354,17.115,-24.694,13.044,42.994,3.296
WIN,1,main channel,192,Micropterus dolomieu,piscivore,364,17.106,-24.872,13.276,43.925,3.309
WIN,1,main channel,193,Ambloplites rupestris,piscivore,220,17.451,-26.098,12.646,40.779,3.225
WIN,1,main channel,194,Esox lucius,piscivore,345,18.765,-24.441,13.563,43.161,3.182
WIN,1,main channel,195,Moxostoma carinatum,invertivore,530,15.797,-26.142,11.947,44.114,3.692
WIN,1,main channel,196,Moxostoma carinatum,invertivore,523,15.722,-26.235,11.691,41.337,3.536
WIN,1,main channel,197,Carpiodes cyprinus,omnivore,465,17.349,-27.275,11.917,46.068,3.866
WIN,1,main channel,198,Carpiodes cyprinus,omnivore,445,17.790,-28.199,9.455,43.359,4.586
WIN,1,main channel,199,Carpiodes cyprinus,omnivore,455,17.472,-27.328,11.706,47.125,4.026
WIN,1,main channel,200,Lepomis macrochirus,invertivore,170,17.273,-24.684,13.530,44.507,3.289
WIN,1,main channel,201,Lepomis macrochirus,invertivore,170,15.431,-26.161,13.056,43.363,3.321
WIN,1,main channel,202,Moxostoma carinatum,invertivore,545,15.621,-26.082,12.523,45.118,3.603
WIN,1,main channel,203,Micropterus dolomieu,piscivore,275,17.793,-25.487,13.373,43.416,3.246
WIN,1,main channel,204,Lepomis macrochirus,invertivore,160,16.470,-25.949,13.493,43.952,3.257
WIN,1,main channel,205,Morone chrysops,piscivore,355,17.557,-25.819,13.936,44.019,3.159
WIN,1,main channel,206,Micropterus salmoides,piscivore,365,18.147,-25.048,14.216,45.296,3.186
