river,fpz,description,site,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N,tp
SCR,1,Wild River,SCR1,1001,shorthead redhorse,invertivore,422,11.16,-28.21,11.42,47.2,4.1,3.534711487
SCR,1,Wild River,SCR1,1014,shorthead redhorse,invertivore,355,11.74,-26.57,14.01,44.6,3.2,3.703360634
SCR,1,Wild River,SCR1,1015,river redhorse,invertivore,440,11.22,-26.58,14.72,44.9,3.1,3.549880987
SCR,1,Wild River,SCR1,1016,shorthead redhorse,invertivore,367,11.35,-25.83,13.09,43.9,3.4,3.58854834
SCR,1,Wild River,SCR1,1017,river redhorse,invertivore,470,11.42,-26.93,13.86,46.2,3.3,3.611313458
SCR,1,Wild River,SCR1,1018,shorthead redhorse,invertivore,320,11.07,-27.90,14.25,45.1,3.2,3.506787723
SCR,1,Wild River,SCR1,1019,common sucker,detritivore,412,11.05,-28.02,14.09,45.4,3.2,3.501427429
SCR,1,Wild River,SCR1,1020,shorthead redhorse,invertivore,473,11.71,-28.92,11.84,51.0,4.3,3.696184782
SCR,1,Wild River,SCR1,1021,silver redhorse,invertivore,440,12.12,-27.56,13.43,46.9,3.5,3.815004634
SCR,1,Wild River,SCR1,1022,river redhorse,invertivore,505,10.91,-27.26,13.66,44.4,3.2,3.460629634
SCR,1,Wild River,SCR1,1023,river redhorse,invertivore,455,11.91,-27.18,13.88,46.7,3.4,3.753659046
SCR,1,Wild River,SCR1,1024,smallmouth bass,piscivore,400,13.44,-25.41,13.50,46.2,3.4,4.20303037
SCR,1,Wild River,SCR1,1025,silver redhorse,invertivore,410,11.45,-27.66,12.39,46.9,3.8,3.619353899
SCR,1,Wild River,SCR1,1026,black crappie,invertivore,170,9.85,-27.52,14.34,45.3,3.2,3.147945811
SCR,1,Wild River,SCR1,1027,walleye,piscivore,187,12.83,-26.52,12.98,40.9,3.2,4.023460517
SCR,1,Wild River,SCR1,1028,river redhorse,invertivore,240,12.65,-26.76,14.38,45.8,3.2,3.971346546
SCR,1,Wild River,SCR1,1029,sauger,piscivore,200,12.78,-26.47,14.80,46.7,3.2,4.010953164
SCR,1,Wild River,SCR1,1030,northern hogsucker,algivore,265,11.50,-26.85,13.56,41.9,3.1,3.632159046
SCR,1,Wild River,SCR1,1031,silver redhorse,invertivore,195,10.31,-28.76,14.21,44.8,3.2,3.282250958
SCR,1,Wild River,SCR1,1032,sauger,piscivore,210,12.84,-26.41,14.25,44.7,3.1,4.02733184
SCR,1,Wild River,SCR1,1033,smallmouth bass,piscivore,345,12.31,-26.24,14.15,45.5,3.2,3.870692134
SCR,1,Wild River,SCR1,1034,common sucker,detritivore,395,10.68,-27.56,14.85,45.8,3.1,3.392136987
SCR,1,Wild River,SCR1,1035,common sucker,detritivore,355,10.09,-28.80,14.34,45.5,3.2,3.217629634
SCR,1,Wild River,SCR1,1036,common sucker,detritivore,395,10.56,-27.95,14.28,46.2,3.2,3.356699487
SCR,1,Wild River,SCR1,1037,northern hogsucker,algivore,270,11.39,-27.40,13.73,44.6,3.3,3.601486252
SCR,1,Wild River,SCR1,1038,common sucker,detritivore,420,11.15,-27.52,14.72,46.5,3.2,3.530909046
SCR,1,Wild River,SCR1,1039,northern hogsucker,algivore,360,11.61,-26.88,15.27,48.6,3.2,3.664618605
SCR,1,Wild River,SCR1,1040,rock bass,invertivore,170,11.92,-26.24,14.24,45.0,3.2,3.75753037
SCR,1,Wild River,SCR1,1041,rock bass,invertivore,175,12.51,-25.68,14.42,45.1,3.1,3.932037723
SCR,1,Wild River,SCR1,1042,sauger,piscivore,180,12.74,-26.30,13.58,43.0,3.2,3.99695684
SCR,1,Wild River,SCR1,1043,rock bass,invertivore,145,12.02,-25.76,14.65,45.0,3.1,3.787607576
SCR,1,Wild River,SCR1,1044,rock bass,invertivore,100,11.26,-27.01,14.71,45.9,3.1,3.563368605
SCR,1,Wild River,SCR1,1045,smallmouth bass,piscivore,255,11.88,-28.24,14.84,46.6,3.1,3.74561484
SCR,1,Wild River,SCR1,1046,smallmouth bass,piscivore,205,11.55,-26.33,14.94,46.8,3.1,3.647611546
SCR,1,Wild River,SCR1,1047,smallmouth bass,piscivore,340,12.19,-26.25,14.14,46.0,3.3,3.837362605
SCR,1,Wild River,SCR1,1086,Hypentelium nigricans,algivore,107,NA,NA,NA,NA,NA,NA
SCR,1,Wild River,SCR1,1087,Hypentelium nigricans,algivore,95,NA,NA,NA,NA,NA,NA
SCR,1,Wild River,SCR1,1088,Cyprinella spiloptera,invertivore/planktivore,96,NA,NA,NA,NA,NA,NA
SCR,1,Wild River,SCR1,1089,Cyprinella spiloptera,invertivore/planktivore,88,NA,NA,NA,NA,NA,NA
SCR,1,Wild River,SCR1,1090,Cyprinella spiloptera,invertivore/planktivore,62,NA,NA,NA,NA,NA,NA
SCR,1,Wild River,SCR1,1091,Notropis atherinoides,invertivore/planktivore,56,NA,NA,NA,NA,NA,NA
SCR,1,Wild River,SCR1,1092,Notropis atherinoides,invertivore/planktivore,60,11.43,-27.15,13.18,42.71,3.2,3.612197605
SCR,1,Wild River,SCR1,1093,Notropis atherinoides,invertivore/planktivore,60,11.53,-29.29,13.54,45.21,3.3,3.640972193
SCR,1,Wild River,SCR1,1094,Notropis vollucelus,invertivore/planktivore,60,11.90,-27.64,12.83,43.34,3.4,3.751574517
SCR,1,Wild River,SCR1,1095,Notropis vollucelus,invertivore/planktivore,60,11.50,-27.75,12.15,40.71,3.4,3.63287934
SCR,1,Wild River,SCR1,1096,Notropis vollucelus,invertivore/planktivore,52,11.26,-27.67,13.17,43.41,3.3,3.563640487
SCR,1,Wild River,SCR1,1097,Notropis vollucelus,invertivore/planktivore,60,12.06,-28.13,12.48,43.80,3.5,3.798932693
SCR,1,Wild River,SCR1,1098,Notropis vollucelus,invertivore/planktivore,57,11.70,-28.03,12.92,43.52,3.4,3.692826399
SCR,1,Wild River,SCR1,1099,Percina caprodes,invertivore/planktivore,95,11.24,-28.33,13.55,44.19,3.3,3.55584737
